station_id,station_name,distance_to_route_km,best_route_idx,energy_used_kWh,arrival_SOC_%
14490,Morya Transport Terminus MIDC Bhosari Charging Station,2.331,2785,27.0841,39.81
20333,"GLIDA Kate Central Mall, Pune",1.762,2827,27.1356,39.7
14530,Vilux Theater Charging Station,0.071,2903,27.4895,38.91
18014,Vatsalya Vihar (Private Charger),3.378,2865,27.5954,38.68
18944,Statiq Westend Center One Station,3.305,2866,27.6047,38.66
18945,Statiq Nexus Westend Mall Station,3.408,2867,27.6447,38.57
15150,Tata Communication Pune Alandi Road (Private Charger),4.011,2831,27.6484,38.56
5578,Jio-BP Pulse Charging station,3.325,2865,27.706,38.43
5579,Jio-BP Pulse Charging station,3.421,2868,27.7495,38.33
20542,MH | Pune | JW Marriott - Pune,4.006,2918,28.1447,37.46
13366,TMTC Mangaldas Road (Private Charger),2.117,2962,28.1963,37.34
6455,EV DOCK Charging Station,2.429,2960,28.2396,37.25
20543,MH | Pune | The Ritz-Carlton,0.114,3006,28.2637,37.19
5577,Jio-BP Pulse Charging station,3.922,2918,28.3658,36.96
17990,Bluegrass Residences (Private Charger),0.999,3006,28.3878,36.92
14791,The Raheja woods CHSL Yerawada (Private Charger),1.197,3005,28.3999,36.89
10844,Nikol EV Charging Station,1.494,3001,28.4233,36.84
13957,"Blue Diamond, Koregaon Park (Private Charger)",1.634,2999,28.4375,36.81
5575,Jio-BP Pulse Charging station,0.821,3019,28.4868,36.7
20544,MH | Pune | ONYX,2.47,3006,28.5941,36.46
20545,MH | Pune | Marriott Suites,3.147,3006,28.6889,36.25
15026,"TML Rudra Motors, Viman Nagar",1.663,3037,28.7322,36.15
17966,"Verdant 84, Koregaon Park Annexe",3.567,3006,28.7478,36.12
6457,EV DOCK Charging Station,1.371,3044,28.7566,36.1
20538,MH | Pune | Mittal Hyundai,1.184,3046,28.7647,36.08
20539,MH | Pune | Novotel Hotel,1.805,3041,28.813,35.97
19205,EFL MUNDHAWA 2,4.088,3005,28.8194,35.96
20334,GLIDA Hyatt Regency Pune,1.836,3045,28.851,35.89
20540,MH | Pune | ibis Pune Viman Nagar,1.955,3046,28.8727,35.84
5574,Jio-BP Pulse Charging station,0.034,3080,28.879,35.82
21136,Pune EV Charging Station,0.068,3082,28.919,35.74
14592,Bramha Sky City Dhanori (Private Charger),1.294,3073,28.971,35.62
14587,Belmac Residences Kalyani Nagar (Private Charger),3.21,3039,28.9743,35.61
14526,Four Points By Sheraton Hotel,2.225,3082,29.1603,35.2
5572,Jio-BP Pulse Charging station,4.018,3082,29.4108,34.64
5571,Jio-BP Pulse Charging station,4.394,3083,29.4745,34.5
13342,Nyati Plaza Charging Station,4.663,3083,29.5005,34.44
20332,"GLIDA City Vista Apartments, Kharadi",4.228,3085,29.5017,34.44
17339,Hotel Chul Mutton,4.45,3085,29.5126,34.42
20546,MH | Pune | Fairfield by Marriott Pune Kharadi,4.612,3082,29.5514,34.33
